"gene_ID"	"pDirectEvidence"	"pIndirectEvidence"	"pCombinedEvidence"
7095	0.0341167757599522	0.6145	0.101991714749485
7096	0.662017992545224	0.495	0.69329948803344
7097	0.168083278698737	0.5945	0.330086960111145
7098	0.381425105476348	0.91	0.714377874394501
7099	0.206698340566142	0.7825	0.456394943081293
7100	0.274758579240192	0.458	0.386672924573138
7101	0.0914143250431783	NA	0.0914143250431783
7102	0.0244272532507436	NA	0.0244272532507436
7103	0.287510560954734	NA	0.287510560954734
7104	0.259687472216611	NA	0.259687472216611
7105	0.128800365371348	NA	0.128800365371348
7106	0.361497180199799	NA	0.361497180199799
7107	0.896991042232201	NA	0.896991042232201
7108	0.0193802903839175	NA	0.0193802903839175
7109	0.0449471554558625	NA	0.0449471554558625
7110	0.0731697784433104	NA	0.0731697784433104
7111	0.0286045471060769	NA	0.0286045471060769
7112	0.0649017619250868	NA	0.0649017619250868
7113	0.104447533333635	NA	0.104447533333635
7114	0.712165222911751	0.0195	0.0732798999482198
7122	0.0779368322724957	0.741	0.222435145102037
7123	0.214744974408192	NA	0.214744974408192
7124	0.723704686501211	0.0035	0.0176759619935217
7125	0.110203635585697	NA	0.110203635585697
7126	0.0735858579913933	NA	0.0735858579913933
7127	0.063561504733899	NA	0.063561504733899
7128	0.21677646404322	0.7885	0.472874938095846
7130	0.506249615064897	NA	0.506249615064897
7132	0.260112520837262	0.9475	0.591636182884487
7133	0.145429148735747	0.874	0.389289948475276
7134	0.170384113894942	0.315	0.210652354482435
